Name,Year,Episodes,Type,Rating,Image-src,Description,Name-href
Breaking Bad,2008,62,TV-MA,9.5,"https://m.media-amazon.com/images/M/MV5BYmQ4YWMxYjUtNjZmYi00MDQ1LWFjMjMtNjA5ZDdiYjdiODU5XkEyXkFqcGdeQXVyMTMzNDExODE5._V1_QL75_UX140_CR0,1,140,207_.jpg",A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,https://www.imdb.com/title/tt0903747/?ref_=chttvtp_t_1
Planet Earth II,2016,6,TV-G,9.5,"https://m.media-amazon.com/images/M/MV5BMGZmYmQ5NGQtNWQ1MC00NWZlLTg0MjYtYjJjMzQ5ODgxYzRkXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UY207_CR3,0,140,207_.jpg",David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,https://www.imdb.com/title/tt5491994/?ref_=chttvtp_t_2
Planet Earth,2006,11,TV-PG,9.4,"https://m.media-amazon.com/images/M/MV5BMzMyYjg0MGMtMTlkMy00OGFiLWFiNTYtYmFmZWNmMDFlMzkwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UY207_CR3,0,140,207_.jpg","A documentary series on the wildlife found on Earth. Each episode covers a different habitat: deserts, mountains, deep oceans, shallow seas, forests, caves, polar regions, fresh water, plain... Read all",https://www.imdb.com/title/tt0795176/?ref_=chttvtp_t_3
Band of Brothers,2001,10,TV-MA,9.4,"https://m.media-amazon.com/images/M/MV5BMTI3ODc2ODc0M15BMl5BanBnXkFtZTYwMjgzNjc3._V1_QL75_UX140_CR0,4,140,207_.jpg","The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.",https://www.imdb.com/title/tt0185906/?ref_=chttvtp_t_4
Chernobyl,2019,5,TV-MA,9.4,"https://m.media-amazon.com/images/M/MV5BNTdkN2QwMDItMDVhNS00ZjFiLWEzNTctMzY5ODQzYWNkMDllXkEyXkFqcGdeQXVyMTMzNDExODE5._V1_QL75_UY207_CR5,0,140,207_.jpg","In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.",https://www.imdb.com/title/tt7366338/?ref_=chttvtp_t_5
The Wire,2002,60,TV-MA,9.3,"https://m.media-amazon.com/images/M/MV5BNTllYzFhMjAtZjExNS00MjM4LWE5YmMtOGFiZGRlOTU5YzJiXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_QL75_UX140_CR0,1,140,207_.jpg","The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.",https://www.imdb.com/title/tt0306414/?ref_=chttvtp_t_6
Avatar: The Last Airbender,2005,62,TV-Y7-FV,9.3,"https://m.media-amazon.com/images/M/MV5BODc5YTBhMTItMjhkNi00ZTIxLWI0YjAtNTZmOTY0YjRlZGQ0XkEyXkFqcGdeQXVyODUwNjEzMzg@._V1_QL75_UY207_CR1,0,140,207_.jpg","In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",https://www.imdb.com/title/tt0417299/?ref_=chttvtp_t_7
Blue Planet II,2017,7,TV-G,9.3,"https://m.media-amazon.com/images/M/MV5BNDZiNDllMTAtOTgxZi00NzNiLWFhNzUtOGUwZWZjZGNjZTMyXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX140_CR0,1,140,207_.jpg","David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans fa... Read all",https://www.imdb.com/title/tt6769208/?ref_=chttvtp_t_8
The Sopranos,1999,86,TV-MA,9.2,"https://m.media-amazon.com/images/M/MV5BZGJjYzhjYTYtMDBjYy00OWU1LTg5OTYtNmYwOTZmZjE3ZDdhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UY207_CR3,0,140,207_.jpg","New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseli... Read all",https://www.imdb.com/title/tt0141842/?ref_=chttvtp_t_9
